問題番号,問題名,読み仮名
1,豆腐,touhu
2,納豆,nattou
3,大豆,daizu
4,枝豆,edamame
5,小豆,azuki
6,豆,mame
7,豆乳,tounyuu
8,インゲン豆,ingenmame
9,ひよこ豆,hiyokomame
10,落花生,rakkasei
11,エンドウ豆,endoumame
12,うずら豆,uzuramame
13,大納言,dainagon
14,そら豆,soramame
15,金時豆,kintokimame
16,大福豆,oohukumame
17,手亡,tebou
18,ささげ,sasage
19,虎豆,toramame
20,白小豆,siroazuki
21,黒小豆,kuroazuki
22,ブラックアイ,burakkuai
23,ボケイト,bokeito
24,じゅうろくささげ,juurokusasage
25,くりまめ,kurimame
26,ダークレッドキドニー,da-kureddokidoni-
27,スモールレッド,sumo-rureddo
28,ブラックタートル,burakkuta-toru
29,ピント,pinto
30,カリオカ,karioka
